time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,478,119,5,2
2026-05-07 00:00:00+00:00,374,103,3,2
2026-05-08 00:00:00+00:00,309,86,1,1
2026-05-09 00:00:00+00:00,286,84,2,1
2026-05-10 00:00:00+00:00,308,93,9,1
2026-05-11 00:00:00+00:00,191,58,0,0
2026-05-12 00:00:00+00:00,175,51,1,1
2026-05-13 00:00:00+00:00,304,71,0,0
2026-05-14 00:00:00+00:00,311,76,9,3
2026-05-15 00:00:00+00:00,207,67,0,0
2026-05-16 00:00:00+00:00,261,85,0,0
2026-05-17 00:00:00+00:00,264,76,9,1
2026-05-18 00:00:00+00:00,181,60,0,0
2026-05-19 00:00:00+00:00,166,57,2,2
